Window size: 10
Threshold Mean: 0.001
Threshold Covariance: 0.0001
TestGenerator object created
Table means exists.
Flushing table means...
Table means flushed
Table covariances exists.
Flushing table covariances...
Table covariances flushed
| Window | Mean Anomalies | Covariance Anomalies |
|--------|----------------|-----------------------|
| 3541	 | 		930		 | 			76 		|
| 3551	 | 		611		 | 			72 		|
| 3561	 | 		556		 | 			53 		|
| 3571	 | 		909		 | 			84 		|
| 3581	 | 		959		 | 			175 		|
| 3591	 | 		820		 | 			119 		|
| 3601	 | 		775		 | 			91 		|
| 3611	 | 		844		 | 			99 		|
| 3621	 | 		832		 | 			111 		|
| 3631	 | 		827		 | 			119 		|
| 3641	 | 		840		 | 			127 		|
| 3651	 | 		570		 | 			93 		|
| 3661	 | 		602		 | 			47 		|
| 3671	 | 		838		 | 			54 		|
| 3681	 | 		565		 | 			55 		|
| 3691	 | 		844		 | 			43 		|
| 3701	 | 		664		 | 			86 		|
| 3711	 | 		884		 | 			75 		|
| 3721	 | 		517		 | 			37 		|
| 3731	 | 		567		 | 			42 		|
| 3741	 | 		525		 | 			60 		|
| 3751	 | 		705		 | 			111 		|
| 3761	 | 		981		 | 			226 		|
| 3771	 | 		830		 | 			182 		|
| 3781	 | 		865		 | 			148 		|
| 3791	 | 		796		 | 			61 		|
| 3801	 | 		772		 | 			162 		|
| 3811	 | 		585		 | 			87 		|
| 3821	 | 		830		 | 			122 		|
| 3831	 | 		637		 | 			189 		|
| 3841	 | 		942		 | 			173 		|
| 3851	 | 		966		 | 			116 		|
| 3861	 | 		927		 | 			132 		|
| 3871	 | 		957		 | 			105 		|
| 3881	 | 		884		 | 			99 		|
| 3891	 | 		887		 | 			112 		|
| 3901	 | 		709		 | 			115 		|
| 3911	 | 		814		 | 			65 		|
| 3921	 | 		830		 | 			64 		|
| 3931	 | 		596		 | 			70 		|
| 3941	 | 		622		 | 			77 		|
| 3951	 | 		826		 | 			162 		|
| 3961	 | 		818		 | 			171 		|
| 3971	 | 		774		 | 			261 		|
| 3981	 | 		798		 | 			236 		|
| 3991	 | 		819		 | 			252 		|
| 4001	 | 		969		 | 			186 		|
| 4011	 | 		812		 | 			220 		|
| 4021	 | 		857		 | 			248 		|
| 4031	 | 		869		 | 			205 		|
| 4041	 | 		569		 | 			148 		|
| 4051	 | 		713		 | 			194 		|
| 4061	 | 		919		 | 			220 		|
| 4071	 | 		794		 | 			264 		|
| 4081	 | 		969		 | 			340 		|
| 4091	 | 		819		 | 			467 		|
| 4101	 | 		759		 | 			224 		|
| 4111	 | 		798		 | 			263 		|
| 4121	 | 		760		 | 			135 		|
| 4131	 | 		630		 | 			187 		|
| 4141	 | 		867		 | 			219 		|
| 4151	 | 		856		 | 			161 		|
| 4161	 | 		943		 | 			161 		|
| 4171	 | 		874		 | 			152 		|
| 4181	 | 		817		 | 			315 		|
| 4191	 | 		802		 | 			148 		|
| 4201	 | 		963		 | 			140 		|
| 4211	 | 		820		 | 			164 		|
| 4221	 | 		828		 | 			97 		|
| 4231	 | 		588		 | 			66 		|
| 4241	 | 		574		 | 			114 		|
| 4251	 | 		825		 | 			134 		|
| 4261	 | 		631		 | 			115 		|
| 4271	 | 		718		 | 			128 		|
| 4281	 | 		943		 | 			225 		|
| 4291	 | 		882		 | 			213 		|
| 4301	 | 		923		 | 			205 		|
| 4311	 | 		899		 | 			71 		|
| 4321	 | 		675		 | 			54 		|
| 4331	 | 		824		 | 			73 		|
| 4341	 | 		796		 | 			95 		|
| 4351	 | 		889		 | 			99 		|
| 4361	 | 		594		 | 			115 		|
| 4371	 | 		567		 | 			87 		|
| 4381	 | 		643		 | 			67 		|
| 4391	 | 		871		 | 			50 		|
| 4401	 | 		638		 | 			105 		|
| 4411	 | 		824		 | 			163 		|
| 4421	 | 		630		 | 			143 		|
| 4431	 | 		623		 | 			97 		|
| 4441	 | 		615		 | 			92 		|
| 4451	 | 		706		 | 			78 		|
| 4461	 | 		861		 | 			100 		|
| 4471	 | 		772		 | 			127 		|
| 4481	 | 		660		 | 			86 		|
| 4491	 | 		780		 | 			64 		|
| 4501	 | 		770		 | 			59 		|
| 4511	 | 		783		 | 			56 		|
| 4521	 | 		825		 | 			84 		|
| 4531	 | 		822		 | 			129 		|
| 4541	 | 		725		 | 			110 		|
| 4551	 | 		872		 | 			88 		|
| 4561	 | 		641		 | 			70 		|
| 4571	 | 		849		 | 			41 		|
| 4581	 | 		832		 | 			78 		|
| 4591	 | 		947		 | 			231 		|
| 4601	 | 		896		 | 			264 		|
| 4611	 | 		775		 | 			145 		|
| 4621	 | 		922		 | 			163 		|
| 4631	 | 		996		 | 			344 		|
| 4641	 | 		657		 | 			159 		|
| 4651	 | 		884		 | 			149 		|
| 4661	 | 		810		 | 			136 		|
| 4671	 | 		915		 | 			111 		|
| 4681	 | 		841		 | 			88 		|
| 4691	 | 		874		 | 			83 		|
| 4701	 | 		665		 | 			110 		|
| 4711	 | 		724		 | 			124 		|
| 4721	 | 		864		 | 			169 		|
| 4731	 | 		664		 | 			98 		|
| 4741	 | 		680		 | 			105 		|
| 4751	 | 		632		 | 			120 		|
| 4761	 | 		952		 | 			240 		|
| 4771	 | 		881		 | 			498 		|
| 4781	 | 		962		 | 			375 		|
| 4791	 | 		803		 | 			293 		|
| 4801	 | 		942		 | 			227 		|
| 4811	 | 		820		 | 			412 		|
| 4821	 | 		987		 | 			388 		|
| 4831	 | 		877		 | 			185 		|
| 4841	 | 		826		 | 			195 		|
| 4851	 | 		836		 | 			151 		|
| 4861	 | 		654		 | 			114 		|
| 4871	 | 		851		 | 			117 		|
| 4881	 | 		747		 | 			179 		|
| 4891	 | 		828		 | 			95 		|
| 4901	 | 		665		 | 			162 		|
| 4911	 | 		737		 | 			176 		|
| 4921	 | 		922		 | 			166 		|
| 4931	 | 		799		 | 			183 		|
| 4941	 | 		727		 | 			137 		|
| 4951	 | 		781		 | 			89 		|
| 4961	 | 		759		 | 			180 		|
| 4971	 | 		899		 | 			288 		|
| 4981	 | 		834		 | 			209 		|
| 4991	 | 		925		 | 			145 		|
| 5001	 | 		985		 | 			146 		|
| 5011	 | 		873		 | 			145 		|
| 5021	 | 		791		 | 			202 		|
| 5031	 | 		784		 | 			170 		|
